mysql> SELECT city, province, LOWER(country), postalCode FROM Address ORDER BY country DESC;
+----------------------------------+--------------------------------+----------------------------------------------+------------+
| city                             | province                       | LOWER(country)                               | postalCode |
| Barranca                         | P                              | turks and caicos islands                     | 2306       |
| Kano                             | KN                             | turks and caicos islands                     | 4231       |
| Mont                             | Luxemburg                      | turks and caicos islands                     | 51-310     |
| Hamburg                          | Hamburg                        | turks and caicos islands                     | 57241      |
| Cockburn                         | WA                             | turks and caicos islands                     | 35200-231  |
| Sale                             | Victoria                       | turks and caicos islands                     | 1311       |
| Narbonne                         | Languedoc-Roussillon           | turkmenistan                                 | 19914      |
| Quesada                          | Alajuela                       | turkmenistan                                 | 0225       |
| San Felipe                       | San José                       | turkmenistan                                 | 44992      |
| Henley-on-Thames                 | OX                             | turkmenistan                                 | H3Z 0A0    |
| P?ock                            | Mazowieckie                    | turkmenistan                                 | 2317       |
| Hilo                             | HI                             | turkmenistan                                 | 09670      |
| Newbury                          | BR                             | turkmenistan                                 | 2351       |
| Berlin                           | BE                             | turkmenistan                                 | 9487       |
| Kamarhati                        | West Bengal                    | turkmenistan                                 | 55219      |
| Warszawa                         | Mazowieckie                    | turkey                                       | 6220       |
| Nizip                            | Gaziantep                      | turkey                                       | 134227     |
| Montluçon                        | Auvergne                       | turkey                                       | 59843      |
| Belgrave                         | VIC                            | turkey                                       | 48270      |
| Ruthin                           | Denbighshire                   | turkey                                       | 92244      |
| Middelburg                       | Zeeland                        | turkey                                       | 66345      |
| Mackay                           | QLD                            | turkey                                       | 75514      |
| Mataró                           | CA                             | turkey                                       | 71610      |
| Bydgoszcz                        | Kujawsko-pomorskie             | turkey                                       | 972039     |
| Zaria                            | KD                             | turkey                                       | 762928     |
| Buguma                           | Rivers                         | turkey                                       | 6671       |
| Bangor                           | Maine                          | turkey                                       | 4730MI     |
| Kraków                           | Ma?opolskie                    | tunisia                                      | 6049       |
| Camaragibe                       | Pernambuco                     | tunisia                                      | 98267      |
| Casnate con Bernate              | LOM                            | tunisia                                      | 4919       |
| Bremerhaven                      | HB                             | tunisia                                      | 24487      |
| Norman                           | OK                             | tunisia                                      | R1P 1H0    |
| Harlingen                        | Friesland                      | tunisia                                      | 4818       |
| Belfast                          | U                              | tunisia                                      | 64920      |
| Santander                        | Cantabria                      | tunisia                                      | 41-746     |
| Gambolò                          | Lombardia                      | tunisia                                      | 34963      |
| Austin                           | TX                             | tunisia                                      | 118529     |
| Sapele                           | DE                             | trinidad and tobago                          | 24424      |
| San Pancrazio Salentino          | PUG                            | trinidad and tobago                          | 83048      |
| Boise                            | ID                             | trinidad and tobago                          | 4829       |
| Szczecin                         | Zachodniopomorskie             | trinidad and tobago                          | B0N 2V2    |
| Funtua                           | Katsina                        | trinidad and tobago                          | 40300      |
| Fréjus                           | Provence-Alpes-Côte d'Azur     | tonga                                        | 66830      |
| Dublin                           | L                              | tonga                                        | ZL7 1FY    |
| Hoorn                            | Noord Holland                  | tonga                                        | 3103       |
| Hénin-Beaumont                   | Nord-Pas-de-Calais             | tonga                                        | 324261     |
| Dublin                           | L                              | tonga                                        | 90782      |
| Vienna                           | Vienna                         | tonga                                        | 3788       |
| Omaha                            | Nebraska                       | tonga                                        | 53369      |
| Vienna                           | Wie                            | tonga                                        | 932437     |
| Vigo                             | GA                             | tonga                                        | 96838      |
| Las Vegas                        | Nevada                         | tonga                                        | 71613      |
| Campofelice di Fitalia           | Sicilia                        | tonga                                        | 5792ZA     |
| Haguenau                         | AL                             | tonga                                        | 11685      |
| Dublin                           | L                              | tonga                                        | N4E 7X4    |
| Galway                           | Connacht                       | tokelau                                      | 2755AQ     |
| Hamburg                          | Hamburg                        | tokelau                                      | 293755     |
| Springfield                      | MO                             | tokelau                                      | 52100      |
| Aubange                          | Luxemburg                      | tokelau                                      | 5580       |
| Modinagar                        | UP                             | tokelau                                      | 12256      |
| New Westminster                  | BC                             | tokelau                                      | 9014XO     |
| Uyo                              | AK                             | tokelau                                      | 03194      |
| Gda?sk                           | Pomorskie                      | tokelau                                      | 3871       |
| Jackson                          | Mississippi                    | tokelau                                      | 31811      |
| Vielsalm                         | LX                             | tokelau                                      | C0S 5H4    |
| Hamburg                          | Hamburg                        | togo                                         | 5354       |
| Vienna                           | Vienna                         | togo                                         | 64014      |
| Wanganui                         | North Island                   | togo                                         | 8914       |
| Noisy-le-Grand                   | IL                             | togo                                         | 74722-056  |
| Adelaide                         | SA                             | togo                                         | 54638      |
| Cáceres                          | Extremadura                    | togo                                         | 9346KF     |
| Dublin                           | L                              | timor-leste                                  | 8463ZP     |
| Leerbeek                         | Vlaams-Brabant                 | timor-leste                                  | 379640     |
| Béthune                          | NO                             | timor-leste                                  | 494080     |
| Argenteuil                       | Île-de-France                  | timor-leste                                  | 924878     |
| Cannes                           | Provence-Alpes-Côte d'Azur     | timor-leste                                  | 0049       |
| Jerez de la Frontera             | AN                             | timor-leste                                  | 600127     |
| Minto                            | ON                             | timor-leste                                  | 58-318     |
| ?anl?urfa                        | ?anl?urfa                      | timor-leste                                  | B2E 0X9    |
| Lincoln                          | Nebraska                       | timor-leste                                  | 87-839     |
| Istanbul                         | Ist                            | timor-leste                                  | 98813      |
| Thane                            | Maharastra                     | thailand                                     | 9650       |
| Roosendaal                       | N.                             | thailand                                     | 372173     |
| Gouda                            | Z.                             | thailand                                     | 50401      |
| Stewart                          | BC                             | thailand                                     | V3C 5Y4    |
| Artena                           | LAZ                            | thailand                                     | 7232NP     |
| Oosterhout                       | Noord Brabant                  | thailand                                     | 4118       |
| Hearst                           | Ontario                        | thailand                                     | N1T 8M2    |
| Stratford-upon-Avon              | WA                             | thailand                                     | 4087       |
| Vienna                           | Wie                            | thailand                                     | 978517     |
| Dortmund                         | NW                             | thailand                                     | 4143       |
| Fermont                          | QC                             | thailand                                     | 77313      |
| Reading                          | PA                             | thailand                                     | 3345       |
| Mata de Plátano                  | San José                       | thailand                                     | 775531     |
| Berlin                           | Berlin                         | thailand                                     | 1208       |
| Cañas                            | Guanacaste                     | thailand                                     | 7340       |
| Alajuela                         | A                              | tanzania                                     | 27594      |
| Sromness                         | OK                             | tanzania                                     | P72 9OW    |
| Balclutha                        | South Island                   | tanzania                                     | 1595DF     |
| Matamata                         | North Island                   | tanzania                                     | 62297      |
| Groenlo                          | Gelderland                     | tanzania                                     | 9754       |
| Ila                              | Osun                           | tanzania                                     | 35-396     |
| Bama                             | BO                             | tanzania                                     | 6825       |
| Ajax                             | ON                             | tanzania                                     | 8470HJ     |
| São José dos Pinhais             | PR                             | tanzania                                     | 83613-157  |
| Annapolis County                 | NS                             | tanzania                                     | 34634      |
| Ruthin                           | DE                             | tanzania                                     | 3261       |
| Nova Iguaçu                      | RJ                             | tajikistan                                   | 3307       |
| Vienna                           | Vienna                         | tajikistan                                   | 18498      |
| Grand Island                     | NE                             | tajikistan                                   | 5218EN     |
| New Bombay                       | Maharastra                     | tajikistan                                   | Y9V 8A1    |
| Saumur                           | PA                             | tajikistan                                   | 309492     |
| Tiruvarur                        | TN                             | tajikistan                                   | 8870QY     |
| Pontevedra                       | Galicia                        | tajikistan                                   | 5642       |
| Kapiti                           | North Island                   | tajikistan                                   | 8290       |
| Montbéliard                      | Franche-Comté                  | tajikistan                                   | 8647       |
| Zeebrugge                        | WV                             | taiwan                                       | 8711       |
| Vienna                           | Vienna                         | taiwan                                       | 9265       |
| San Francisco                    | Heredia                        | taiwan                                       | X72 2LG    |
| Sagamu                           | OG                             | taiwan                                       | 2168       |
| Hamburg                          | HH                             | taiwan                                       | 1629       |
| Galway                           | C                              | taiwan                                       | 12846      |
| Genappe                          | WB                             | taiwan                                       | 56548      |
| Kano                             | KN                             | taiwan                                       | 3808       |
| Mogi das Cruzes                  | São Paulo                      | taiwan                                       | 15177-006  |
| Portici                          | CAM                            | taiwan                                       | 3707       |
| Legnica                          | DS                             | syria                                        | 6480JP     |
